Date,Description,Amount,Transaction Type,Category
2025-01-23,Corporate Monthly Salary Paycheck,3094.31,income,Salary
2025-01-24,Xbox Live Game Store Purchase,59.86,expense,Entertainment
2025-01-24,CVS Pharmacy prescription,56.64,expense,Medical
2025-01-25,Best Buy Electronics Store,240.87,expense,Shopping
2025-01-27,Dominos Pizza delivery,20.11,expense,Food
2025-01-27,Xbox Live Game Store Purchase,37.61,expense,Entertainment
2025-01-28,Walmart Grocery Store,93.69,expense,Food
2025-01-30,Best Buy Electronics Store,251.47,expense,Shopping
2025-02-01,Dental Care Clinic Orthodontics,210.6,expense,Medical
2025-02-02,Xbox Live Game Store Purchase,38.45,expense,Entertainment
2025-02-03,Rent Payment Apartment,1200.0,expense,Bills
2025-02-03,CVS Pharmacy prescription,24.77,expense,Medical
2025-02-03,State DMV Vehicle Registration,51.13,expense,Others
2025-02-04,Disneyland Theme Park Ticket,196.15,expense,Entertainment
2025-02-04,Coursera Data Science Certification,39.22,expense,Education
2025-02-05,UberEats Restaurant Delivery,40.56,expense,Food
2025-02-06,Whole Foods Grocery Delivery,78.46,expense,Food
2025-02-07,Dominos Pizza delivery,32.93,expense,Food
2025-02-07,AMC Movie Theatre Tickets,13.66,expense,Entertainment
2025-02-08,Netflix Streaming Subscription,22.45,expense,Bills
2025-02-10,Uber Ride Share,32.89,expense,Travel
2025-02-11,Delta Airlines Ticket flight,176.67,expense,Travel
2025-02-13,Verizon Monthly Wireless Bill,103.15,expense,Bills
2025-02-14,City Water & Sewerage Bill,31.82,expense,Bills
2025-02-15,Walmart Grocery Store,99.97,expense,Food
2025-02-17,Walgreens Drugstore medicine,51.65,expense,Medical
2025-02-18,Comcast Xfinity Internet Bill,62.32,expense,Bills
2025-02-20,Best Buy Electronics Store,392.14,expense,Shopping
2025-02-21,Local Charity Donation,47.02,expense,Others
2025-02-22,Chevron Gas Station,30.06,expense,Travel
2025-02-23,Blue Shield Health Insurance Co-pay,33.12,expense,Medical
2025-02-25,Post Office Mail Shipping,8.44,expense,Others
2025-02-26,Coursera Data Science Certification,41.02,expense,Education
2025-02-27,Netflix Streaming Subscription,11.3,expense,Bills
2025-03-01,Best Buy Electronics Store,133.37,expense,Shopping
2025-03-01,Rent Payment Apartment,1200.0,expense,Bills
2025-03-03,Nike Sneakers Purchase,76.98,expense,Shopping
2025-03-03,Comcast Xfinity Internet Bill,92.35,expense,Bills
2025-03-04,UberEats Restaurant Delivery,60.28,expense,Food
2025-03-04,Shell Gasoline Fill-up,25.98,expense,Travel
2025-03-06,Dominos Pizza delivery,15.15,expense,Food
2025-03-07,Udemy Python Programming Course,11.37,expense,Education
2025-03-09,Shell Gasoline Fill-up,47.09,expense,Travel
2025-03-10,Walgreens Drugstore medicine,56.54,expense,Medical
2025-03-11,Udemy Python Programming Course,24.0,expense,Education
2025-03-13,Duolingo Language App Premium,8.53,expense,Education
2025-03-14,College Bookstore Textbooks,40.74,expense,Education
2025-03-15,College Bookstore Textbooks,93.19,expense,Education
2025-03-16,H&M Summer Collection Apparels,31.52,expense,Shopping
2025-03-17,Amazon Online Shopping,112.49,expense,Shopping
2025-03-18,Corporate Monthly Salary Paycheck,2614.95,income,Salary
2025-03-18,Coursera Data Science Certification,39.36,expense,Education
2025-03-19,Metropolitan Power Grid Electric Bill,179.29,expense,Bills
2025-03-20,General Hospital Doctor Consultation,174.99,expense,Medical
2025-03-22,Hilton Hotels Reservation,215.71,expense,Travel
2025-03-22,Amtrak Train Transit,82.55,expense,Travel
2025-03-23,Best Buy Electronics Store,226.5,expense,Shopping
2025-03-23,Nike Sneakers Purchase,151.85,expense,Shopping
2025-03-24,H&M Summer Collection Apparels,36.28,expense,Shopping
2025-03-25,Investment Dividend Payment Deposit,177.62,income,Dividend
2025-03-26,Disneyland Theme Park Ticket,116.28,expense,Entertainment
2025-03-28,Delta Airlines Ticket flight,432.23,expense,Travel
2025-03-29,AMC Movie Theatre Tickets,22.57,expense,Entertainment
2025-03-30,Subway Sandwiches Store,8.65,expense,Food
2025-03-31,Local Charity Donation,44.5,expense,Others
2025-04-02,Zara Clothing Apparel,131.26,expense,Shopping
2025-04-02,Subway Sandwiches Store,14.32,expense,Food
2025-04-03,Metropolitan Power Grid Electric Bill,123.75,expense,Bills
2025-04-03,Whole Foods Grocery Delivery,72.14,expense,Food
2025-04-04,Xbox Live Game Store Purchase,26.55,expense,Entertainment
2025-04-04,Xbox Live Game Store Purchase,40.26,expense,Entertainment
2025-04-04,Duolingo Language App Premium,12.82,expense,Education
2025-04-05,Xbox Live Game Store Purchase,40.26,expense,Entertainment
2025-04-06,Dental Care Clinic Orthodontics,91.93,expense,Medical
2025-04-08,Bowlero Bowling Center Lanes,28.66,expense,Entertainment
2025-04-09,Walgreens Drugstore medicine,47.24,expense,Medical
2025-04-10,McDonald's Fast Food,8.05,expense,Food
2025-04-11,Freelance Software Project Invoice,642.25,income,Freelance
2025-04-11,CVS Pharmacy prescription,45.13,expense,Medical
2025-04-12,CVS Pharmacy prescription,57.42,expense,Medical
2025-04-13,Dental Care Clinic Orthodontics,108.42,expense,Medical
2025-04-14,General Hospital Doctor Consultation,167.37,expense,Medical
2025-04-15,Verizon Monthly Wireless Bill,97.32,expense,Bills
2025-04-16,Verizon Monthly Wireless Bill,63.89,expense,Bills
2025-04-17,Target Retail Store,87.28,expense,Shopping
2025-04-18,Post Office Mail Shipping,26.02,expense,Others
2025-04-19,Walgreens Drugstore medicine,36.12,expense,Medical
2025-04-19,Local Charity Donation,45.26,expense,Others
2025-04-20,Starbucks Coffee Shop,4.89,expense,Food
2025-04-20,Dominos Pizza delivery,30.5,expense,Food
2025-04-20,City Water & Sewerage Bill,41.58,expense,Bills
2025-04-20,CVS Pharmacy prescription,14.77,expense,Medical
2025-04-21,Comcast Xfinity Internet Bill,105.71,expense,Bills
2025-04-21,General Hospital Doctor Consultation,72.1,expense,Medical
2025-04-21,City Water & Sewerage Bill,47.02,expense,Bills
2025-04-21,AMC Movie Theatre Tickets,17.74,expense,Entertainment
2025-04-21,Disneyland Theme Park Ticket,198.35,expense,Entertainment
2025-04-21,Coursera Data Science Certification,42.13,expense,Education
2025-04-21,Verizon Monthly Wireless Bill,104.74,expense,Bills
2025-04-22,Xbox Live Game Store Purchase,51.42,expense,Entertainment
2025-04-23,Corporate Monthly Salary Paycheck,3126.9,income,Salary
2025-04-24,Delta Airlines Ticket flight,384.73,expense,Travel
2025-04-25,CVS Pharmacy prescription,50.42,expense,Medical
2025-04-25,UberEats Restaurant Delivery,37.12,expense,Food
2025-04-26,Amtrak Train Transit,54.43,expense,Travel
2025-04-28,General Hospital Doctor Consultation,84.32,expense,Medical
2025-04-29,College Bookstore Textbooks,64.44,expense,Education
2025-04-30,AMC Movie Theatre Tickets,25.87,expense,Entertainment
2025-05-01,Starbucks Coffee Shop,11.75,expense,Food
2025-05-02,Metropolitan Power Grid Electric Bill,84.34,expense,Bills
2025-05-03,Hilton Hotels Reservation,358.28,expense,Travel
2025-05-04,Amazon Online Shopping,198.51,expense,Shopping
2025-05-06,Disneyland Theme Park Ticket,185.74,expense,Entertainment
2025-05-07,UberEats Restaurant Delivery,28.83,expense,Food
2025-05-07,Uber Ride Share,17.96,expense,Travel
2025-05-09,UberEats Restaurant Delivery,64.74,expense,Food
2025-05-10,Amazon Online Shopping,40.4,expense,Shopping
2025-05-11,Subway Sandwiches Store,14.83,expense,Food
2025-05-12,UberEats Restaurant Delivery,60.22,expense,Food
2025-05-12,Local Charity Donation,96.58,expense,Others
2025-05-12,Comcast Xfinity Internet Bill,100.3,expense,Bills
2025-05-12,Freelance Software Project Invoice,380.66,income,Freelance
2025-05-13,College Bookstore Textbooks,91.44,expense,Education
2025-05-14,Starbucks Coffee Shop,6.17,expense,Food
2025-05-15,Post Office Mail Shipping,25.91,expense,Others
2025-05-15,Dental Care Clinic Orthodontics,237.58,expense,Medical
2025-05-16,Subway Sandwiches Store,14.96,expense,Food
2025-05-17,Xbox Live Game Store Purchase,47.86,expense,Entertainment
2025-05-18,AMC Movie Theatre Tickets,37.54,expense,Entertainment
2025-05-18,Netflix Streaming Subscription,15.69,expense,Bills
2025-05-19,Netflix Streaming Subscription,13.88,expense,Bills
2025-05-20,Walmart Grocery Store,98.13,expense,Food
2025-05-21,Verizon Monthly Wireless Bill,77.94,expense,Bills
2025-05-22,UberEats Restaurant Delivery,44.33,expense,Food
2025-05-22,Dental Care Clinic Orthodontics,80.05,expense,Medical
2025-05-24,Disneyland Theme Park Ticket,175.83,expense,Entertainment
2025-05-25,Best Buy Electronics Store,330.9,expense,Shopping
2025-05-26,Zara Clothing Apparel,48.83,expense,Shopping
2025-05-27,Walgreens Drugstore medicine,19.76,expense,Medical
2025-05-27,AMC Movie Theatre Tickets,32.55,expense,Entertainment
2025-05-28,Zara Clothing Apparel,49.8,expense,Shopping
2025-05-28,Shell Gasoline Fill-up,56.24,expense,Travel
2025-05-28,Starbucks Coffee Shop,6.06,expense,Food
2025-05-28,Ticketmaster Concert Live Music,162.76,expense,Entertainment
2025-05-29,Duolingo Language App Premium,11.59,expense,Education
2025-05-30,Subway Sandwiches Store,11.39,expense,Food
2025-05-31,Rent Payment Apartment,1200.0,expense,Bills
2025-06-01,City Water & Sewerage Bill,33.78,expense,Bills
2025-06-01,Shell Gasoline Fill-up,55.71,expense,Travel
2025-06-03,Verizon Monthly Wireless Bill,65.27,expense,Bills
2025-06-03,Corporate Monthly Salary Paycheck,2825.84,income,Salary
2025-06-05,H&M Summer Collection Apparels,68.4,expense,Shopping
2025-06-06,Xbox Live Game Store Purchase,49.47,expense,Entertainment
2025-06-07,Freelance Software Project Invoice,863.05,income,Freelance
2025-06-09,Duolingo Language App Premium,13.94,expense,Education
2025-06-09,Udemy Python Programming Course,25.48,expense,Education
2025-06-11,AMC Movie Theatre Tickets,23.33,expense,Entertainment
2025-06-12,Coursera Data Science Certification,39.01,expense,Education
2025-06-13,Whole Foods Grocery Delivery,147.2,expense,Food
2025-06-14,Coursera Data Science Certification,45.65,expense,Education
2025-06-15,Metropolitan Power Grid Electric Bill,124.6,expense,Bills
2025-06-16,City Water & Sewerage Bill,44.72,expense,Bills
2025-06-16,Walgreens Drugstore medicine,70.86,expense,Medical
2025-06-17,UNUSUAL Walmart Grocery Store (Anomaly),697.67,expense,Food
2025-06-18,Coursera Data Science Certification,44.78,expense,Education
2025-06-19,Verizon Monthly Wireless Bill,71.29,expense,Bills
2025-06-20,Udemy Python Programming Course,11.89,expense,Education
2025-06-21,Coursera Data Science Certification,47.35,expense,Education
2025-06-22,Local Charity Donation,62.55,expense,Others
2025-06-24,Best Buy Electronics Store,345.36,expense,Shopping
2025-06-25,General Hospital Doctor Consultation,109.01,expense,Medical
2025-06-26,General Hospital Doctor Consultation,54.79,expense,Medical
2025-06-28,AMC Movie Theatre Tickets,25.5,expense,Entertainment
2025-06-29,Uber Ride Share,43.52,expense,Travel
2025-06-30,Whole Foods Grocery Delivery,79.66,expense,Food
2025-07-01,Chevron Gas Station,35.31,expense,Travel
2025-07-01,Metropolitan Power Grid Electric Bill,109.49,expense,Bills
2025-07-03,H&M Summer Collection Apparels,43.8,expense,Shopping
2025-07-04,Metropolitan Power Grid Electric Bill,176.33,expense,Bills
2025-07-05,Chevron Gas Station,54.5,expense,Travel
2025-07-06,Nike Sneakers Purchase,94.51,expense,Shopping
2025-07-07,Subway Sandwiches Store,11.51,expense,Food
2025-07-08,H&M Summer Collection Apparels,62.7,expense,Shopping
2025-07-09,Zara Clothing Apparel,141.67,expense,Shopping
2025-07-09,Coursera Data Science Certification,41.73,expense,Education
2025-07-11,Chevron Gas Station,52.26,expense,Travel
2025-07-12,Whole Foods Grocery Delivery,41.75,expense,Food
2025-07-13,Amazon Online Shopping,108.1,expense,Shopping
2025-07-14,McDonald's Fast Food,24.0,expense,Food
2025-07-15,Delta Airlines Ticket flight,494.71,expense,Travel
2025-07-16,Hilton Hotels Reservation,374.89,expense,Travel
2025-07-16,General Hospital Doctor Consultation,156.37,expense,Medical
2025-07-18,Dental Care Clinic Orthodontics,197.01,expense,Medical
2025-07-19,Chevron Gas Station,30.54,expense,Travel
2025-07-20,Walgreens Drugstore medicine,58.07,expense,Medical
2025-07-21,Udemy Python Programming Course,28.28,expense,Education
2025-07-22,Zara Clothing Apparel,129.99,expense,Shopping
2025-07-24,CVS Pharmacy prescription,14.48,expense,Medical
2025-07-25,Comcast Xfinity Internet Bill,69.57,expense,Bills
2025-07-26,Dental Care Clinic Orthodontics,260.95,expense,Medical
2025-07-28,Corporate Monthly Salary Paycheck,2714.14,income,Salary
2025-07-29,Coursera Data Science Certification,40.66,expense,Education
2025-07-30,Nike Sneakers Purchase,55.75,expense,Shopping
2025-07-31,Uber Ride Share,28.2,expense,Travel
2025-07-31,Starbucks Coffee Shop,5.13,expense,Food
2025-08-01,AMC Movie Theatre Tickets,39.86,expense,Entertainment
2025-08-02,Netflix Streaming Subscription,20.65,expense,Bills
2025-08-04,Hilton Hotels Reservation,179.13,expense,Travel
2025-08-04,Whole Foods Grocery Delivery,148.23,expense,Food
2025-08-05,Bowlero Bowling Center Lanes,37.61,expense,Entertainment
2025-08-06,Delta Airlines Ticket flight,194.93,expense,Travel
2025-08-07,UberEats Restaurant Delivery,50.96,expense,Food
2025-08-09,Coursera Data Science Certification,45.79,expense,Education
2025-08-11,Udemy Python Programming Course,15.21,expense,Education
2025-08-13,Walmart Grocery Store,113.34,expense,Food
2025-08-14,Duolingo Language App Premium,10.92,expense,Education
2025-08-15,Post Office Mail Shipping,18.88,expense,Others
2025-08-15,Starbucks Coffee Shop,9.02,expense,Food
2025-08-15,Disneyland Theme Park Ticket,142.34,expense,Entertainment
2025-08-16,Best Buy Electronics Store,355.29,expense,Shopping
2025-08-17,Post Office Mail Shipping,11.29,expense,Others
2025-08-19,Xbox Live Game Store Purchase,19.55,expense,Entertainment
2025-08-21,UberEats Restaurant Delivery,25.9,expense,Food
2025-08-22,UberEats Restaurant Delivery,53.83,expense,Food
2025-08-22,Amazon Online Shopping,57.84,expense,Shopping
2025-08-24,Netflix Streaming Subscription,14.75,expense,Bills
2025-08-25,Nike Sneakers Purchase,133.16,expense,Shopping
2025-08-27,Netflix Streaming Subscription,14.28,expense,Bills
2025-08-28,Disneyland Theme Park Ticket,148.25,expense,Entertainment
2025-08-29,Udemy Python Programming Course,19.46,expense,Education
2025-08-29,Coursera Data Science Certification,45.54,expense,Education
2025-08-30,City Water & Sewerage Bill,54.01,expense,Bills
2025-08-31,Dominos Pizza delivery,17.55,expense,Food
2025-09-01,Local Charity Donation,82.87,expense,Others
2025-09-02,Post Office Mail Shipping,7.06,expense,Others
2025-09-02,Post Office Mail Shipping,10.88,expense,Others
2025-09-04,Local Charity Donation,93.09,expense,Others
2025-09-04,City Water & Sewerage Bill,34.59,expense,Bills
2025-09-05,Shell Gasoline Fill-up,45.34,expense,Travel
2025-09-06,Delta Airlines Ticket flight,236.52,expense,Travel
2025-09-07,General Hospital Doctor Consultation,171.35,expense,Medical
2025-09-08,Duolingo Language App Premium,9.69,expense,Education
2025-09-09,Bowlero Bowling Center Lanes,34.39,expense,Entertainment
2025-09-10,Freelance Software Project Invoice,699.83,income,Freelance
2025-09-11,Starbucks Coffee Shop,14.77,expense,Food
2025-09-12,Local Charity Donation,61.24,expense,Others
2025-09-13,Disneyland Theme Park Ticket,129.15,expense,Entertainment
2025-09-14,Walmart Grocery Store,101.56,expense,Food
2025-09-16,Netflix Streaming Subscription,22.77,expense,Bills
2025-09-18,Xbox Live Game Store Purchase,52.42,expense,Entertainment
2025-09-19,Corporate Monthly Salary Paycheck,2911.7,income,Salary
2025-09-20,General Hospital Doctor Consultation,171.13,expense,Medical
2025-09-21,Coursera Data Science Certification,46.07,expense,Education
2025-09-22,Bowlero Bowling Center Lanes,22.34,expense,Entertainment
2025-09-24,Starbucks Coffee Shop,13.84,expense,Food
2025-09-25,Shell Gasoline Fill-up,37.03,expense,Travel
2025-09-27,Nike Sneakers Purchase,139.12,expense,Shopping
2025-09-28,Dental Care Clinic Orthodontics,136.42,expense,Medical
2025-09-29,Comcast Xfinity Internet Bill,97.62,expense,Bills
2025-09-30,Blue Shield Health Insurance Co-pay,41.53,expense,Medical
2025-10-01,UberEats Restaurant Delivery,53.81,expense,Food
2025-10-03,Duolingo Language App Premium,11.4,expense,Education
2025-10-05,College Bookstore Textbooks,231.78,expense,Education
2025-10-05,Dominos Pizza delivery,31.24,expense,Food
2025-10-06,Target Retail Store,23.34,expense,Shopping
2025-10-07,Nike Sneakers Purchase,101.2,expense,Shopping
2025-10-08,H&M Summer Collection Apparels,21.22,expense,Shopping
2025-10-08,College Bookstore Textbooks,216.73,expense,Education
2025-10-09,Walmart Grocery Store,106.85,expense,Food
2025-10-10,State DMV Vehicle Registration,92.69,expense,Others
2025-10-10,Investment Dividend Payment Deposit,156.17,income,Dividend
2025-10-11,Zara Clothing Apparel,38.42,expense,Shopping
2025-10-13,Walgreens Drugstore medicine,63.51,expense,Medical
2025-10-15,State DMV Vehicle Registration,72.3,expense,Others
2025-10-16,Freelance Software Project Invoice,1161.49,income,Freelance
2025-10-17,Best Buy Electronics Store,205.13,expense,Shopping
2025-10-19,CVS Pharmacy prescription,39.7,expense,Medical
2025-10-19,Walmart Grocery Store,41.28,expense,Food
2025-10-20,Metropolitan Power Grid Electric Bill,130.18,expense,Bills
2025-10-20,City Water & Sewerage Bill,35.39,expense,Bills
2025-10-22,Udemy Python Programming Course,17.04,expense,Education
2025-10-23,Blue Shield Health Insurance Co-pay,41.3,expense,Medical
2025-10-25,Delta Airlines Ticket flight,331.17,expense,Travel
2025-10-27,Amtrak Train Transit,41.67,expense,Travel
2025-10-29,Hilton Hotels Reservation,202.97,expense,Travel
2025-10-29,Dominos Pizza delivery,33.33,expense,Food
2025-10-31,Local Charity Donation,30.67,expense,Others
2025-10-31,Target Retail Store,98.88,expense,Shopping
2025-11-01,Spotify Music Premium,13.2,expense,Bills
2025-11-03,Investment Dividend Payment Deposit,58.14,income,Dividend
2025-11-04,City Water & Sewerage Bill,67.99,expense,Bills
2025-11-05,City Water & Sewerage Bill,57.72,expense,Bills
2025-11-05,Shell Gasoline Fill-up,39.8,expense,Travel
2025-11-06,General Hospital Doctor Consultation,116.69,expense,Medical
2025-11-06,Hilton Hotels Reservation,224.78,expense,Travel
2025-11-07,Xbox Live Game Store Purchase,18.46,expense,Entertainment
2025-11-08,Delta Airlines Ticket flight,339.1,expense,Travel
2025-11-09,Delta Airlines Ticket flight,193.86,expense,Travel
2025-11-11,Subway Sandwiches Store,15.56,expense,Food
2025-11-12,Shell Gasoline Fill-up,52.75,expense,Travel
2025-11-13,Corporate Monthly Salary Paycheck,4364.98,income,Salary
2025-11-15,State DMV Vehicle Registration,111.92,expense,Others
2025-11-17,Xbox Live Game Store Purchase,40.74,expense,Entertainment
2025-11-18,Best Buy Electronics Store,376.62,expense,Shopping
2025-11-19,Target Retail Store,35.89,expense,Shopping
2025-11-20,Shell Gasoline Fill-up,30.2,expense,Travel
2025-11-21,Comcast Xfinity Internet Bill,75.11,expense,Bills
2025-11-23,AMC Movie Theatre Tickets,23.74,expense,Entertainment
2025-11-23,General Hospital Doctor Consultation,174.05,expense,Medical
2025-11-24,CVS Pharmacy prescription,30.0,expense,Medical
2025-11-25,Local Charity Donation,62.08,expense,Others
2025-11-26,Hilton Hotels Reservation,185.13,expense,Travel
2025-11-28,Subway Sandwiches Store,14.69,expense,Food
2025-11-29,General Hospital Doctor Consultation,174.22,expense,Medical
2025-11-30,College Bookstore Textbooks,218.85,expense,Education
2025-12-01,Starbucks Coffee Shop,6.97,expense,Food
2025-12-03,Amazon Online Shopping,186.02,expense,Shopping
2025-12-04,Metropolitan Power Grid Electric Bill,96.15,expense,Bills
2025-12-05,Disneyland Theme Park Ticket,200.73,expense,Entertainment
2025-12-06,Dominos Pizza delivery,35.0,expense,Food
2025-12-07,Dominos Pizza delivery,31.99,expense,Food
2025-12-08,Verizon Monthly Wireless Bill,91.66,expense,Bills
2025-12-09,Hilton Hotels Reservation,318.79,expense,Travel
2025-12-10,Rent Payment Apartment,1200.0,expense,Bills
2025-12-11,Walgreens Drugstore medicine,46.78,expense,Medical
2025-12-12,Dental Care Clinic Orthodontics,266.38,expense,Medical
2025-12-13,Xbox Live Game Store Purchase,32.98,expense,Entertainment
2025-12-14,Local Charity Donation,23.13,expense,Others
2025-12-14,Walgreens Drugstore medicine,32.99,expense,Medical
2025-12-15,Rent Payment Apartment,1200.0,expense,Bills
2025-12-16,Shell Gasoline Fill-up,39.31,expense,Travel
2025-12-18,Metropolitan Power Grid Electric Bill,93.11,expense,Bills
